# Honey  Round RCB
 YES      61 3316836470-CROMU_00046-f9211d19c7b947389ef40d6485e3a58d77071679c7e577d3e83e4a35a40cd6a1.rcb

 YES      67 1029868449-CROMU_00051-5af8c452dd702354cfc8f0a8214e67f77a5871789d676698466b804378703a19.rcb

 YES       4 3007107812-CROMU_00055-cc7830c15a7c5b8b552ea8d9c4e4e56fda397ccef5647bc5937a646e28814cc6.rcb
 YES       7 3007107812-CROMU_00055-ce980ddab8b57999a45e74f5276f8d4d680610e3e2ad1e13509bf2c9c97dd1b6.rcb
  NO      11 3007107812-CROMU_00055-43725d6732f456b6c54655ce463c32f76942b029ab3a0974bd0b0abf4a99e4a5.rcb

 YES      27 3345162729-CROMU_00058-25a45091cd3f697ec49661591eab18cd3317abc322f9befa655f3cb66a0d35bd.rcb

 YES       4 1906881742-CROMU_00064-00affaf869a7ef0d4772ba48d491c98d4da3a499af8df3f38a14f8c2e795f957.rcb

 YES      84 754026095-CROMU_00065-a28f8a490523bdf89bb5d21b66c9985056e97ba8c24caa509fede7fd4365bf6d.rcb
  NO      87 754026095-CROMU_00065-d0e47500f8a84f38d6f77b6036e5950c9ac233572c5e1d9df83b39b27e2e2498.rcb
 YES      90 754026095-CROMU_00065-97dbc4556a042f1ca885c40553319ab9f18d99d6237407bf605188520ef828ea.rcb
 YES      93 754026095-CROMU_00065-6f8386f4cf152dde4abebce196dd574f7e15550084575dec4c1e882d105f2637.rcb

 YES      25 1514220152-CROMU_00073-d1b6dad0e42c34f4eab945760fa9d14194ce1557d8fa090a923938f0594b8bb1.rcb
  NO      31 1514220152-CROMU_00073-de851dd8785c6b5e8a0bd62f719c37dfe9adfe3d28f2f2c740b8377e00ecaa9d.rcb

 YES      30 3077360081-CROMU_00076-8b51ac731bcf8b764a73629eca45c21b3b9a1f6bf24bdcd2d4b943089fd84e0c.rcb 

 YES      68 3049714598-CROMU_00079-99f114471e174714ff445ebf1b8a25240cfe80ffb91bbd92b91ad343f3aa6a08.rcb 
 YES      72 3049714598-CROMU_00079-d67f51773cadacbc578dc163a3994645b6d16238740888b4a7c41cc8a16e53b5.rcb 

 YES      36 1295802477-CROMU_00082-72caacf5b1d8e26adfb4370ee80cf19905b3bbbb63710f3c003b5cbe83a82251.rcb

 YES       5 1424130266-CROMU_00094-3e4758d9765f27e9da1215e85cd8ed09f66792f9da18b367e0863c29bfb78b73.rcb
 YES      21 1424130266-CROMU_00094-fce1860abac005c70ff05dd990d77c28c1827e2e3b43556d5b03ed15c4aa525c.rcb
  NO      25 1424130266-CROMU_00094-0ca5d646bed4419f4ad81fc04de38c55b5333266d131e3879465ced0addb3dbd.rcb

 YES       9 1504525286-CROMU_00095-b7c429e4dbe628d7903cf0cb04debe307f508338ef89afcf1a52513148417840.rcb
 YES      12 1504525286-CROMU_00095-c7bdb34411e3f2f7056f18a8393ca47b3cfb1a67e34e78c7cca55897d85d7461.rcb
 YES      19 1504525286-CROMU_00095-8d527a2a6ea443aa0cbd9b22dfec80891f7f95cb7a76ea03789cb156ddad1882.rcb
  NO      23 1504525286-CROMU_00095-ce848ca39e5228a391200491e2ec8ba9fa0598ea1eb43f50e16d0923be47b26b.rcb

 YES      10 2760261320-CROMU_00096-c0722f4be474645b8d6facbc72322e87169cd6600f98d2cc8ba2c514c233594f.rcb
 YES      24 2760261320-CROMU_00096-b37ace8fc8c93e6e10869d159e49d59bb15f895a8952b1725e9bcdf9b3e1c4ac.rcb

 YES       4 1204538468-CROMU_00097-3320f01ab6fd8b93d23dce97f4721a6fb643cc8eb4731c77bc790d1583439553.rcb
 YES       6 1204538468-CROMU_00097-61d99d21ad8493a4011b8be88e68c3289a08b3ca412588f690d23426d41ce0d9.rcb
  NO      11 1204538468-CROMU_00097-ea586f81d56f94b126de4795efab7ef1cd1888702575acc2e177927f58170474.rcb

 YES      26 3361046760-KPRCA_00065-7049d1bfbcfc71e021ac94d7526cd6131e221622f4f7a520e5ef7ecdd1476246.rcb

 YES      27 2912718818-KPRCA_00074-ef13714a8f1d6803b610a5e0e234eb0cda5ee1ac731dd4593021b8efa00e04a3.rcb

 YES      30 2522530102-KPRCA_00087-959592ae479d9fd256a25e2428c5d975ea7daff8160f9cfbf1d6158e664868fb.rcb
 YES      33 2522530102-KPRCA_00087-50a96cd3845cc4db068e375a2b3c56d9a06f036dc6d4475f5c2076ecbc6bb2fc.rcb 


 YES      76 2097594834-KPRCA_00094-2a96e52233c2710a4421fe10a07053869c4e45fb1663fcfb2e2a5d012dcd0d32.rcb

 YES       6 3436313223-KPRCA_00101-8f059fe586590f7df899ad2dc1a206dd29fc28feb38e89e352dab9f35513ed24.rcb 

 YES       9 944326584-KPRCA_00102-61329cee2fd44c81ddf070275c2c3ccc83d0b62cc7a0afd9aec2a0ec1337df9f.rcb 
 YES      12 944326584-KPRCA_00102-2f6e525f7492393ccf1fc976145e06034eea4476a71fa67a5f5a83b135394bfc.rcb 

 YES      30 904395588-KPRCA_00119-aad614cb087c4adca1a873190759751b0e4f10b2c3c6ee1c52c2be7b3a42ccd8.rcb 

 YES      25 975877749-NRFIN_00045-85086e581cee9f53d1dc70f8747b333aaa50cd2de5742121d065dd0be1997da6.rcb 

 YES       5 325025771-NRFIN_00049-9af61951c997fc2e0c862b682fb8e571c94cffb484401822dc310ee14cf1717a.rcb 

  NO     (different start) 76 3881696163-NRFIN_00052-6b8e7d3eb76f954b601c34ad5e252ca4c0bc52f210aabd8ed9de4e4511ac55c5.rcb
  NO     (different start) 80 3881696163-NRFIN_00052-f264f7f1480c4beecaaa4d51c4d5dc61af409694157b72f174f010eca168dbd6.rcb
  NO     (MORE diffrerent) 86 3881696163-NRFIN_00052-bf103e34a956f76473159d7cc7ef63a0bed3f8f0cc57888e13c2810aad0459d4.rcb

  NO      27 3395615331-NRFIN_00055-89028ad2ab25aef8d0159cdfba6e3e75b5a409e68f77862327b74804de7fc130.rcb 

 EH????   74 3134302066-NRFIN_00056-b9eaa44fe3b2d294072266a802aed9909914736adeb16c6c614700ee92b383bd.rcb 


 YES      33 3371584014-NRFIN_00061-6e1d4282e40ee59d3f36a8bc4d5e04b07fa1b7d4b52ca9375cf490c8869de21d.rcb 
 YES      41 3371584014-NRFIN_00061-ba58f316b633e9a19d323a9fdc372b105a76edce8b6b5adde6446b3bb7e93036.rcb 

 YES      53 2347155893-NRFIN_00063-afc7bbbec64e549d4800ffbf9ca132f4b2b702343925a6ab791a404e170473e6.rcb

 YES      26 3121141496-NRFIN_00064-b650bfc4d41065f44ee80bffa559cc8c56e17df4db9890b27f386bf2c12efd34.rcb 


 YES      30 4280490483-NRFIN_00071-7dfe21bd3ef15a0d23e7706acf6f68284a55cfe715634469f832854ed0544a6d.rcb 


 YES      60 3516384350-YAN01_00015-dd7b349faad3ed5eeec58ae1dab9d7595a984b1eeda1ff3f2c020c877ec3b851.rcb

 YES      82 1961371372-YAN01_00016-821ed272f56651a66038bc85d2ba88c1b877770ee9fa700c72a810f21018b9a9.rcb
  NO      86 1961371372-YAN01_00016-06a5dbf071c1d673733d3fdf6807e82c7a69836e4eb68dbd8f4b41a99886192f.rcb


Did not field RCBs for: CROMU_00088, NRFIN_00059 and CROMU_00098
