NR	SYSCALL NAME	references	x8	ARG0 (x0)	ARG1 (x1)	ARG2 (x2)	ARG3 (x3)	ARG4 (x4)	ARG5 (x5)
0	io_setup	man/ cs/	0	unsigned nr_reqs	aio_context_t *ctx	-	-	-	-
1	io_destroy	man/ cs/	1	aio_context_t ctx	-	-	-	-	-
2	io_submit	man/ cs/	2	aio_context_t	long	struct iocb * *	-	-	-
3	io_cancel	man/ cs/	3	aio_context_t ctx_id	struct iocb *iocb	struct io_event *result	-	-	-
4	io_getevents	man/ cs/	4	aio_context_t ctx_id	long min_nr	long nr	struct io_event *events	struct __kernel_timespec *timeout	-
5	setxattr	man/ cs/	5	const char *path	const char *name	const void *value	size_t size	int flags	-
6	lsetxattr	man/ cs/	6	const char *path	const char *name	const void *value	size_t size	int flags	-
7	fsetxattr	man/ cs/	7	int fd	const char *name	const void *value	size_t size	int flags	-
8	getxattr	man/ cs/	8	const char *path	const char *name	void *value	size_t size	-	-
9	lgetxattr	man/ cs/	9	const char *path	const char *name	void *value	size_t size	-	-
10	fgetxattr	man/ cs/	A	int fd	const char *name	void *value	size_t size	-	-
11	listxattr	man/ cs/	B	const char *path	char *list	size_t size	-	-	-
12	llistxattr	man/ cs/	C	const char *path	char *list	size_t size	-	-	-
13	flistxattr	man/ cs/	D	int fd	char *list	size_t size	-	-	-
14	removexattr	man/ cs/	E	const char *path	const char *name	-	-	-	-
15	lremovexattr	man/ cs/	F	const char *path	const char *name	-	-	-	-
16	fremovexattr	man/ cs/	10	int fd	const char *name	-	-	-	-
17	getcwd	man/ cs/	11	char *buf	unsigned long size	-	-	-	-
18	lookup_dcookie	man/ cs/	12	u64 cookie64	char *buf	size_t len	-	-	-
19	eventfd2	man/ cs/	13	unsigned int count	int flags	-	-	-	-
20	epoll_create1	man/ cs/	14	int flags	-	-	-	-	-
21	epoll_ctl	man/ cs/	15	int epfd	int op	int fd	struct epoll_event *event	-	-
22	epoll_pwait	man/ cs/	16	int epfd	struct epoll_event *events	int maxevents	int timeout	const sigset_t *sigmask	size_t sigsetsize
23	dup	man/ cs/	17	unsigned int fildes	-	-	-	-	-
24	dup3	man/ cs/	18	unsigned int oldfd	unsigned int newfd	int flags	-	-	-
25	fcntl	man/ cs/	19	unsigned int fd	unsigned int cmd	unsigned long arg	-	-	-
26	inotify_init1	man/ cs/	1A	int flags	-	-	-	-	-
27	inotify_add_watch	man/ cs/	1B	int fd	const char *path	u32 mask	-	-	-
28	inotify_rm_watch	man/ cs/	1C	int fd	__s32 wd	-	-	-	-
29	ioctl	man/ cs/	1D	unsigned int fd	unsigned int cmd	unsigned long arg	-	-	-
30	ioprio_set	man/ cs/	1E	int which	int who	int ioprio	-	-	-
31	ioprio_get	man/ cs/	1F	int which	int who	-	-	-	-
32	flock	man/ cs/	20	unsigned int fd	unsigned int cmd	-	-	-	-
33	mknodat	man/ cs/	21	int dfd	const char * filename	umode_t mode	unsigned dev	-	-
34	mkdirat	man/ cs/	22	int dfd	const char * pathname	umode_t mode	-	-	-
35	unlinkat	man/ cs/	23	int dfd	const char * pathname	int flag	-	-	-
36	symlinkat	man/ cs/	24	const char * oldname	int newdfd	const char * newname	-	-	-
37	linkat	man/ cs/	25	int olddfd	const char *oldname	int newdfd	const char *newname	int flags	-
38	renameat	man/ cs/	26	int olddfd	const char * oldname	int newdfd	const char * newname	-	-
39	umount2	man/ cs/	27	?	?	?	?	?	?
40	mount	man/ cs/	28	char *dev_name	char *dir_name	char *type	unsigned long flags	void *data	-
41	pivot_root	man/ cs/	29	const char *new_root	const char *put_old	-	-	-	-
42	nfsservctl	man/ cs/	2A	?	?	?	?	?	?
43	statfs	man/ cs/	2B	const char * path	struct statfs *buf	-	-	-	-
44	fstatfs	man/ cs/	2C	unsigned int fd	struct statfs *buf	-	-	-	-
45	truncate	man/ cs/	2D	const char *path	long length	-	-	-	-
46	ftruncate	man/ cs/	2E	unsigned int fd	unsigned long length	-	-	-	-
47	fallocate	man/ cs/	2F	int fd	int mode	loff_t offset	loff_t len	-	-
48	faccessat	man/ cs/	30	int dfd	const char *filename	int mode	-	-	-
49	chdir	man/ cs/	31	const char *filename	-	-	-	-	-
50	fchdir	man/ cs/	32	unsigned int fd	-	-	-	-	-
51	chroot	man/ cs/	33	const char *filename	-	-	-	-	-
52	fchmod	man/ cs/	34	unsigned int fd	umode_t mode	-	-	-	-
53	fchmodat	man/ cs/	35	int dfd	const char * filename	umode_t mode	-	-	-
54	fchownat	man/ cs/	36	int dfd	const char *filename	uid_t user	gid_t group	int flag	-
55	fchown	man/ cs/	37	unsigned int fd	uid_t user	gid_t group	-	-	-
56	openat	man/ cs/	38	int dfd	const char *filename	int flags	umode_t mode	-	-
57	close	man/ cs/	39	unsigned int fd	-	-	-	-	-
58	vhangup	man/ cs/	3A	-	-	-	-	-	-
59	pipe2	man/ cs/	3B	int *fildes	int flags	-	-	-	-
60	quotactl	man/ cs/	3C	unsigned int cmd	const char *special	qid_t id	void *addr	-	-
61	getdents64	man/ cs/	3D	unsigned int fd	struct linux_dirent64 *dirent	unsigned int count	-	-	-
62	lseek	man/ cs/	3E	unsigned int fd	off_t offset	unsigned int whence	-	-	-
63	read	man/ cs/	3F	unsigned int fd	char *buf	size_t count	-	-	-
64	write	man/ cs/	40	unsigned int fd	const char *buf	size_t count	-	-	-
65	readv	man/ cs/	41	unsigned long fd	const struct iovec *vec	unsigned long vlen	-	-	-
66	writev	man/ cs/	42	unsigned long fd	const struct iovec *vec	unsigned long vlen	-	-	-
67	pread64	man/ cs/	43	unsigned int fd	char *buf	size_t count	loff_t pos	-	-
68	pwrite64	man/ cs/	44	unsigned int fd	const char *buf	size_t count	loff_t pos	-	-
69	preadv	man/ cs/	45	unsigned long fd	const struct iovec *vec	unsigned long vlen	unsigned long pos_l	unsigned long pos_h	-
70	pwritev	man/ cs/	46	unsigned long fd	const struct iovec *vec	unsigned long vlen	unsigned long pos_l	unsigned long pos_h	-
71	sendfile	man/ cs/	47	int out_fd	int in_fd	off_t *offset	size_t count	-	-
